,survived,pclass,age,sibsp,parch,fare,sex_female,sex_male,embarked_C,embarked_Q,embarked_S,class_First,class_Second,class_Third,who_child,who_man,who_woman,adult_male_False,adult_male_True,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,alive_no,alive_yes,alone_False,alone_True
0,0,3,22.0,1,0,7.25,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
1,1,1,38.0,1,0,71.2833,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0
2,1,3,26.0,0,0,7.925,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1
3,1,1,35.0,1,0,53.1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0
4,0,3,35.0,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
5,0,3,29.69911764705882,0,0,8.4583,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
6,0,1,54.0,0,0,51.8625,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1
7,0,3,2.0,3,1,21.075,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
8,1,3,27.0,0,2,11.1333,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0
9,1,2,14.0,1,0,30.0708,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
10,1,3,4.0,1,1,16.7,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
11,1,1,58.0,0,0,26.55,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1
12,0,3,20.0,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
13,0,3,39.0,1,5,31.275,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
14,0,3,14.0,0,0,7.8542,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1
15,1,2,55.0,0,0,16.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
16,0,3,2.0,4,1,29.125,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0
17,1,2,29.69911764705882,0,0,13.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1
18,0,3,31.0,1,0,18.0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
19,1,3,29.69911764705882,0,0,7.225,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1
20,0,2,35.0,0,0,26.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
21,1,2,34.0,0,0,13.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1
22,1,3,15.0,0,0,8.0292,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
23,1,1,28.0,0,0,35.5,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
24,0,3,8.0,3,1,21.075,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
25,1,3,38.0,1,5,31.3875,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0
26,0,3,29.69911764705882,0,0,7.225,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
27,0,1,19.0,3,2,263.0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
28,1,3,29.69911764705882,0,0,7.8792,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
29,0,3,29.69911764705882,0,0,7.8958,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
30,0,1,40.0,0,0,27.7208,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1
31,1,1,29.69911764705882,1,0,146.5208,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0
32,1,3,29.69911764705882,0,0,7.75,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
33,0,2,66.0,0,0,10.5,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
34,0,1,28.0,1,0,82.1708,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0
35,0,1,42.0,1,0,52.0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
36,1,3,29.69911764705882,0,0,7.2292,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1
37,0,3,21.0,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
38,0,3,18.0,2,0,18.0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
39,1,3,14.0,1,0,11.2417,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
40,0,3,40.0,1,0,9.475,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
41,0,2,27.0,1,0,21.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0
42,0,3,29.69911764705882,0,0,7.8958,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
43,1,2,3.0,1,2,41.5792,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
44,1,3,19.0,0,0,7.8792,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
45,0,3,29.69911764705882,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
46,0,3,29.69911764705882,1,0,15.5,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
47,1,3,29.69911764705882,0,0,7.75,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
48,0,3,29.69911764705882,2,0,21.6792,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
49,0,3,18.0,1,0,17.8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
50,0,3,7.0,4,1,39.6875,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
51,0,3,21.0,0,0,7.8,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
52,1,1,49.0,1,0,76.7292,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0
53,1,2,29.0,1,0,26.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0
54,0,1,65.0,0,1,61.9792,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0
55,1,1,29.69911764705882,0,0,35.5,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
56,1,2,21.0,0,0,10.5,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
57,0,3,28.5,0,0,7.2292,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
58,1,2,5.0,1,2,27.75,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0
59,0,3,11.0,5,2,46.9,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
60,0,3,22.0,0,0,7.2292,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
61,1,1,38.0,0,0,80.0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1
62,0,1,45.0,1,0,83.475,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
63,0,3,4.0,3,2,27.9,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
64,0,1,29.69911764705882,0,0,27.7208,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1
65,1,3,29.69911764705882,1,1,15.2458,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0
66,1,2,29.0,0,0,10.5,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
67,0,3,19.0,0,0,8.1583,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
68,1,3,17.0,4,2,7.925,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0
69,0,3,26.0,2,0,8.6625,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
70,0,2,32.0,0,0,10.5,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
71,0,3,16.0,5,2,46.9,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
72,0,2,21.0,0,0,73.5,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
73,0,3,26.0,1,0,14.4542,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
74,1,3,32.0,0,0,56.4958,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
75,0,3,25.0,0,0,7.65,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
76,0,3,29.69911764705882,0,0,7.8958,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
77,0,3,29.69911764705882,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
78,1,2,0.83,0,2,29.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0
79,1,3,30.0,0,0,12.475,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1
80,0,3,22.0,0,0,9.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
81,1,3,29.0,0,0,9.5,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
82,1,3,29.69911764705882,0,0,7.7875,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
83,0,1,28.0,0,0,47.1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1
84,1,2,17.0,0,0,10.5,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
85,1,3,33.0,3,0,15.85,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0
86,0,3,16.0,1,3,34.375,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
87,0,3,29.69911764705882,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
88,1,1,23.0,3,2,263.0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0
89,0,3,24.0,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
90,0,3,29.0,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
91,0,3,20.0,0,0,7.8542,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
92,0,1,46.0,1,0,61.175,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
93,0,3,26.0,1,2,20.575,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
94,0,3,59.0,0,0,7.25,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
95,0,3,29.69911764705882,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
96,0,1,71.0,0,0,34.6542,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1
97,1,1,23.0,0,1,63.3583,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0
98,1,2,34.0,0,1,23.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0
99,0,2,34.0,1,0,26.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0
100,0,3,28.0,0,0,7.8958,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
101,0,3,29.69911764705882,0,0,7.8958,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
102,0,1,21.0,0,1,77.2875,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
103,0,3,33.0,0,0,8.6542,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
104,0,3,37.0,2,0,7.925,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
105,0,3,28.0,0,0,7.8958,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
106,1,3,21.0,0,0,7.65,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1
107,1,3,29.69911764705882,0,0,7.775,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
108,0,3,38.0,0,0,7.8958,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
109,1,3,29.69911764705882,1,0,24.15,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0
110,0,1,47.0,0,0,52.0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1
111,0,3,14.5,1,0,14.4542,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0
112,0,3,22.0,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
113,0,3,20.0,1,0,9.825,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
114,0,3,17.0,0,0,14.4583,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
115,0,3,21.0,0,0,7.925,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
116,0,3,70.5,0,0,7.75,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
117,0,2,29.0,1,0,21.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0
118,0,1,24.0,0,1,247.5208,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0
119,0,3,2.0,4,2,31.275,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
120,0,2,21.0,2,0,73.5,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0
121,0,3,29.69911764705882,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
122,0,2,32.5,1,0,30.0708,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0
123,1,2,32.5,0,0,13.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
124,0,1,54.0,0,1,77.2875,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
125,1,3,12.0,1,0,11.2417,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
126,0,3,29.69911764705882,0,0,7.75,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
127,1,3,24.0,0,0,7.1417,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
128,1,3,29.69911764705882,1,1,22.3583,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0
129,0,3,45.0,0,0,6.975,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
130,0,3,33.0,0,0,7.8958,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
131,0,3,20.0,0,0,7.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
132,0,3,47.0,1,0,14.5,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
133,1,2,29.0,1,0,26.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0
134,0,2,25.0,0,0,13.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
135,0,2,23.0,0,0,15.0458,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1
136,1,1,19.0,0,2,26.2833,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0
137,0,1,37.0,1,0,53.1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
138,0,3,16.0,0,0,9.2167,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
139,0,1,24.0,0,0,79.2,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1
140,0,3,29.69911764705882,0,2,15.2458,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0
141,1,3,22.0,0,0,7.75,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1
142,1,3,24.0,1,0,15.85,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0
143,0,3,19.0,0,0,6.75,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
144,0,2,18.0,0,0,11.5,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
145,0,2,19.0,1,1,36.75,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0
146,1,3,27.0,0,0,7.7958,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
147,0,3,9.0,2,2,34.375,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
148,0,2,36.5,0,2,26.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0
149,0,2,42.0,0,0,13.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
150,0,2,51.0,0,0,12.525,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
151,1,1,22.0,1,0,66.6,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0
152,0,3,55.5,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
153,0,3,40.5,0,2,14.5,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
154,0,3,29.69911764705882,0,0,7.3125,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
155,0,1,51.0,0,1,61.3792,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0
156,1,3,16.0,0,0,7.7333,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
157,0,3,30.0,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
158,0,3,29.69911764705882,0,0,8.6625,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
159,0,3,29.69911764705882,8,2,69.55,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
160,0,3,44.0,0,1,16.1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
161,1,2,40.0,0,0,15.75,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
162,0,3,26.0,0,0,7.775,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
163,0,3,17.0,0,0,8.6625,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
164,0,3,1.0,4,1,39.6875,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
165,1,3,9.0,0,2,20.525,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
166,1,1,29.69911764705882,0,1,55.0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0
167,0,3,45.0,1,4,27.9,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
168,0,1,29.69911764705882,0,0,25.925,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1
169,0,3,28.0,0,0,56.4958,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
170,0,1,61.0,0,0,33.5,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1
171,0,3,4.0,4,1,29.125,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0
172,1,3,1.0,1,1,11.1333,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
173,0,3,21.0,0,0,7.925,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
174,0,1,56.0,0,0,30.6958,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1
175,0,3,18.0,1,1,7.8542,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
176,0,3,29.69911764705882,3,1,25.4667,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
177,0,1,50.0,0,0,28.7125,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1
178,0,2,30.0,0,0,13.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
179,0,3,36.0,0,0,0.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
180,0,3,29.69911764705882,8,2,69.55,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
181,0,2,29.69911764705882,0,0,15.05,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1
182,0,3,9.0,4,2,31.3875,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
183,1,2,1.0,2,1,39.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0
184,1,3,4.0,0,2,22.025,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
185,0,1,29.69911764705882,0,0,50.0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1
186,1,3,29.69911764705882,1,0,15.5,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0
187,1,1,45.0,0,0,26.55,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
188,0,3,40.0,1,1,15.5,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
189,0,3,36.0,0,0,7.8958,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
190,1,2,32.0,0,0,13.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
191,0,2,19.0,0,0,13.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
192,1,3,19.0,1,0,7.8542,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0
193,1,2,3.0,1,1,26.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0
194,1,1,44.0,0,0,27.7208,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1
195,1,1,58.0,0,0,146.5208,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1
196,0,3,29.69911764705882,0,0,7.75,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
197,0,3,42.0,0,1,8.4042,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
198,1,3,29.69911764705882,0,0,7.75,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
199,0,2,24.0,0,0,13.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1
200,0,3,28.0,0,0,9.5,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
201,0,3,29.69911764705882,8,2,69.55,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
202,0,3,34.0,0,0,6.4958,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
203,0,3,45.5,0,0,7.225,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
204,1,3,18.0,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
205,0,3,2.0,0,1,10.4625,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
206,0,3,32.0,1,0,15.85,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
207,1,3,26.0,0,0,18.7875,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1
208,1,3,16.0,0,0,7.75,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
209,1,1,40.0,0,0,31.0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1
210,0,3,24.0,0,0,7.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
211,1,2,35.0,0,0,21.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
212,0,3,22.0,0,0,7.25,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
213,0,2,30.0,0,0,13.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
214,0,3,29.69911764705882,1,0,7.75,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
215,1,1,31.0,1,0,113.275,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0
216,1,3,27.0,0,0,7.925,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1
217,0,2,42.0,1,0,27.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0
218,1,1,32.0,0,0,76.2917,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1
219,0,2,30.0,0,0,10.5,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
